Division,Placement,Skipper,Team,Total Score
A,1,Eric Anderson '16,Yale University,23
A,2,Alexander Tong '17,Tufts University,24
A,3,OJ O'Connell '15,University of Vermont,31
A,4,Camille Matile '17,Northeastern University,39
A,5,Patrick Isherwood '17,University of Rhode Island,57
A,6,Lindsey Kennett '15,Boston University,57
A,7,Jeffrey Adam '18,Massachusetts Maritime Academy,61
A,8,Justine Mitchell '15,Wesleyan University,74
A,9,George Williams '17,University of Connecticut,78
A,10,John Coulter '16,Providence College,92
A,11,Shannon Killian '16,Salve Regina University,94
A,12,William Herlihy '15,Sacred Heart University,96
A,13,Tatum McLaughlin '16,Fairfield University,102
