Division,Placement,Skipper,Team,Total Score
A,1,David Thompson '11,Hobart and William Smith Colleges,75
A,2,Michael Campbell '11,Georgetown University,100
A,3,Zack Kelchner '12 *,Old Dominion University,114
A,4,Jason Carminati '12,U. S. Naval Academy,122
A,5,Frederick Whitman '11,St. Mary's College of Maryland,123
A,6,Taylor Vann '13,U. S. Naval Academy,125
A,7,Victor Diaz De Leon '14,St. Mary's College of Maryland,126
A,8,Peter Johns '12,Georgetown University,128
A,9,Christina Pryne '10 *,U. S. Naval Academy,135
A,10,Kevin Shockey '10 *,Old Dominion University,140
A,11,Ike Babbitt '11,Hobart and William Smith Colleges,150
A,12,Ian Holtzworth '13,U. S. Merchant Marine Academy,157
A,13,Joseph Turchiano '11,Fordham University,189
A,14,Mildred Conroy '12,Washington College,197
A,15,Tyler Steel '13,SUNY Maritime College,198
A,16,Scott Lubliner '13,SUNY Maritime College,260
A,17,William Pilling '11,University of Pennsylvania,262
