Division,Placement,Skipper,Team,Total Score
A,1,Joseph Schiff '17,University of California at Santa Barbara,29
A,2,Remy Margerum '17,University of California at Santa Barbara,42
A,3,Olivia Godfrey '17,University of California at Santa Barbara,52
A,4,Sunny Scarbrough '17,California State University Long Beach,64
A,5,Brandon Yuen '14,University of Southern California,69
A,6,Jan Tore Horn '15,University of California at Berkeley,75
A,7,Eric Witte '17,University of California at Berkeley,107
A,8,Saul Rosen '15,University of California at Berkeley,112
A,9,Timothy Pilegard '14,University of California at Los Angeles,115
A,10,Brock Poesiat '16,University of Victoria,124
A,11,Christopher Keefe '14,University of California at San Diego,127
A,12,Jiachao Yang '15,University of California at San Diego,133
A,13,Brett Farrell '17,University of California at San Diego,136
A,14,John Beutter '17,University of California at Los Angeles,153
A,15,Danielle Sams '16,University of California at San Diego,154
A,16,James Heller '15,University of California at Irvine,166
A,17,Annalisa Smullin '15,University of California at Davis,199
A,18,Alex Yeghiazarian '16,University of California at Davis,206
