Division,Placement,Skipper,Team,Total Score
A,1,Joseph Paggi '16,Massachusetts Institute of Technology,31
A,2,Patrick Shanahan '19,Brown University,49
A,3,James Kennedy '17,Roger Williams University,58
A,4,Katharina (KB) Knapp '18,Yale University,66
A,5,Jacob Martz '17,Boston College,67
A,6,Samuel Shea '19,Tufts University,89
A,7,Benjamin Craig '17,University of Vermont,90
A,8,Alex Moreno '19,Boston University,93
A,9,Dakota Northrup '19,University of Rhode Island,97
A,10,Alexander Paggi '18,U. S. Coast Guard Academy,104
A,11,Chris Colbeth '20,Northeastern University,108
A,12,Alexander Vasiliou '18,Bowdoin College,112
A,13,Jennifer Lee '17,University of Connecticut,145
A,14,Pierre DuPont '16,Tufts University,158
A,15,Joshua Mandelbaum '17,Wentworth Institute of Technology,179
A,16,Kiley Burke '17,Emmanuel College,192
A,17,Victoria Breese '19,Holy Cross College,204
