Division,Placement,Skipper,Team,Total Score
A,1,Kieran Chung '15,Stanford University,18
A,2,Adam Pokras '14,University of Hawaii,33
A,3,Ian Stokes '16,University of California at Santa Barbara,44
A,4,Mark Ryan '15,California State University Long Beach,58
A,5,Cameron Hutcheson '14,University of Southern California,70
A,6,Nicolas Delfino '16,University of California at San Diego,74
A,7,Dylan Ale '15,Santa Clara University,75
A,8,Travis Benton '14,University of California at Berkeley,93
A,9,Ian Spilman '15,University of California at Santa Cruz,109
A,10,Samuel Heller '15,University of California at Irvine,113
A,11,David Cornella '17,Cal Poly University S.L.O.,120
A,12,Mark Hurdle '13,California State University Monterey Bay,131
