Division,Placement,Skipper,Team,Total Score
A,1,Graham Landy '15,Yale University,55
A,2,Fletcher Sims '14,St. Mary's College of Maryland,85
A,3,Nevin Snow '16,Georgetown University,92
A,4,Matthew Wefer '14,Dartmouth College,115
A,5,William Macdonald '15,Roger Williams University,136
A,6,Mateo Vargas '14,Stanford University,158
A,7,Ryan Davidson '16,College of Charleston,159
A,8,Nick Valente '16,SUNY Maritime College,160
A,9,Michael Grove '14,U. S. Naval Academy,165
A,10,Esteban Forrer '16,Old Dominion University,192
A,11,Alex Ramos '15,University of Michigan,197
A,12,Matthew Hecht '16,University of Miami,207
A,13,Bradley Milliken '14,U. S. Coast Guard Academy,208
A,14,Jack Swikart '15,University of Pennsylvania,216
A,15,Ryan Bailey '15,Washington College,225
A,16,Ellis Tonissi '15,Connecticut College,229
A,17,Brendan Shanahan '17,George Washington University,238
A,18,Christopher Stessing '14,University of Virginia,241
