Division,Placement,Skipper,Team,Total Score
A,1,Matthew Graham '13,University of Michigan,21
A,2,Connor Trepton '15,University of Wisconsin,26
A,3,Geoff Pedrick '12,Northwestern University,29
A,4,Mike Flanigan '15,University of Notre Dame,37
A,5,Natalie Sinn '12,University of Minnesota,41
A,6,Ben Otten '11,University of Wisconsin Milwaukee,51
A,7,Charlie Trost '12,Western Michigan University,54
A,8,Phillip Morley '13,University of Wisconsin,60
A,9,Rachel Barch '13,University of Michigan,69
A,10,Michael Kang '12,University of Chicago,80
A,11,Peter Rocco '13,Michigan State University,101
A,12,William Andreae '13,Miami University,108
A,13,Karinne Smolenyak '15,University of Michigan,109
A,14,Meghan Bouman '15,Marquette University,114
A,15,Betsy Grant '14,Northern Michigan University,115
A,16,William Bailey '12,Robert Morris University Illinois,119
A,17,Chester Wood '15,Lake Forest College,119
A,18,Matthew Leon '13,Northern Michigan University,137
