Division,Placement,Skipper,Team,Total Score
B,1,Christian Geary '14,Stevens Institute of Technology,28
B,2,Paul Stevens '14,Monmouth University,32
B,3,John Marzulli '12,Princeton University,37
B,4,Jason Sinclair '13,Drexel University,47
B,5,Emma Ferris '15,U. S. Naval Academy,56
B,6,Brogan Savage '15,Washington College,65
B,7,Mary Buhl '14,Christopher Newport University,68
B,8,Thad Bench '15,St. Mary's College of Maryland,72
B,9,Kyle Donnelly '14,Ocean County College,85
B,10,Kathrine Bianchini '12,Rutgers University,102
B,11,Eliza Crawford '14,Penn State University,103
B,12,Matthias Chia '15,University of Pennsylvania,107
