Division,Placement,Skipper,Team,Total Score
B,1,Jake Reynolds '16,College of Charleston,19
B,2,Tony Collins '15,Eckerd College,41
B,3,Matthew Hecht '16,University of Miami,47
B,4,William Heausler '13,University of Florida,47
B,5,Fernando Monllor '16,University of South Florida,52
B,6,John Reddaway '15,Georgia Institute of Technology,67
B,7,Hugh Forester-Bennett '13,Clemson University,80
B,8,Daniel Moore '12,Jacksonville University,97
B,9,Ian Nora '14,Rollins College,104
B,10,Joel Hurley '16,Embry-Riddle University,108
B,11,Paul Guntner '16,North Carolina State University,130
B,12,no show 3 '13 *,University of North Carolina at Wilmington,173
