Division,Placement,Skipper,Team,Total Score
A,1,Chris Barnard '13,Georgetown University,72
A,2,Joshua Greenslade '14,St. Mary's College of Maryland,74
A,3,Ben Spector '13,College of Charleston,80
A,4,Colin Smith '13,Brown University,92
A,5,William Haeger '14,Tufts University,93
A,6,Graham Landy '15,Yale University,98
A,7,Alex Ramos '15,U. S. Naval Academy,104
A,8,Johnny Norfleet '13,Hobart and William Smith Colleges,108
A,9,Harry Scott '13,SUNY Maritime College,118
A,10,Dillon Paiva '13,Old Dominion University,119
A,11,Kevin Laube '14,Stanford University,125
A,12,Will Stocke '13,University of South Florida,143
A,13,Michael Zonnenberg '15,University of Vermont,147
A,14,Sam Fitzgerald '14,Washington College,173
A,15,Ben Jassin '13,University of Miami,181
A,16,Andrew Bates '15,U. S. Merchant Marine Academy,185
A,17,Colton Radenbaugh '15,Michigan State University,233
A,18,Jela-Ni McCarthy '16,Hampton University,251
