Division,Placement,Skipper,Team,Total Score
B,1,Maria El-Khazindar '19,Stanford University,11
B,2,Francesca Cappellini '16,Santa Clara University,40
B,3,Olivia Godfrey '17,University of California at Santa Barbara,43
B,4,Kyra Oakes '18,University of California at Berkeley,43
B,5,Leah Ford '19,University of California at Los Angeles,50
B,6,Caitlin Schadt '18,University of Hawaii,55
B,7,Hollis Barth '16,University of Southern California,61
B,8,Kathryn Cornella '16,Cal Poly University S.L.O.,73
B,9,Julia Jaynes '19,California State University Long Beach,76
B,10,Hayley Chong '17,University of California at San Diego,99
