Division,Placement,Skipper,Team,Total Score
A,1,John Coakley '16,University of Southern California,24
A,2,Harrison Vandervort '19,University of California at Santa Barbara,28
A,3,Nicolas Delfino '16,University of California at San Diego,36
A,4,Ben Brough '19,Cal Poly University S.L.O.,39
A,5,Christina Gasparich '19,University of Southern California,48
A,6,Hollis Barth '16,University of Southern California,59
A,7,Nicholas Lenz Lenz '19,University of California at Los Angeles,76
A,8,Samuel Rohrbach '17,University of California at San Diego,107
A,9,Dylan Rinker '16,Cal Poly University S.L.O.,108
A,10,Liam Chaffey '19,Cal Poly University S.L.O.,111
A,11,Sarah Macpherson '18,University of California at Los Angeles,111
A,12,Yan Rui Goheen '17,University of California at San Diego,112
A,13,none,University of California at Santa Cruz,127
A,14,Thomas Garcia '19,University of California at Los Angeles,142
A,15,Thomas Niemisto '17,Cal Poly University S.L.O.,146
A,16,Mindy Chow '16,Westmont College,154
A,17,Marina Lindsay '17,University of California at Los Angeles,165
A,18,none,University of California at San Diego,183
A,19,Garrison Murphy '20,Arizona State University,187
