Division,Placement,Skipper,Team,Total Score
B,1,Johanna Kincaid '15,Brown University,96
B,2,Dana Rohde '18,U. S. Coast Guard Academy,100
B,3,Allyson Donahue '17,Boston College,117
B,4,Sarah Williams '16,Dartmouth College,121
B,5,Amina Brown '17,University of Vermont,126
B,6,Casey Klingler '18,Yale University,127
B,7,Katia DaSilva '15,Georgetown University,128
B,8,Carolyn Smith '17,St. Mary's College of Maryland,144
B,9,Elizabeth Pemberton '18,College of Charleston,165
B,10,Maeve White '17,Stanford University,172
B,11,Sarah Hermus '18,University of Rhode Island,174
B,12,Miranda Bakos '18,George Washington University,193
B,13,Sarah Streater '18,Old Dominion University,205
B,14,Quinn Howes '16,Cornell University,210
B,15,Hannah Hughes '17,U. S. Naval Academy,239
B,16,Madison Gates '18,University of South Florida,246
B,17,Courtney Koos '16,Bowdoin College,249
B,18,Anna Huebschmann '18,Eckerd College,270
