Division,Placement,Skipper,Team,Total Score
A,1,Morgan Kiss '15,Yale University,40
A,2,Erika Reineke '16,Boston College,59
A,3,Lily Katz '17,Stanford University,60
A,4,Andrea Luna '15,Old Dominion University,77
A,5,Mary Hall '15,U. S. Naval Academy,79
A,6,Erin Mullins '16,Bowdoin College,85
A,7,Melany Johnson '15,Eckerd College,87
A,8,Megan Yeigh '16,University of Vermont,94
A,9,Laura Wefer '16,University of Wisconsin,98
A,10,Jennifer Borshoff '15,Cornell University,115
A,11,Noel Ingalls '16,Texas A&M University at Galveston,163
A,12,Francesca Cappellini '16,Santa Clara University,164
A,13,Jasmine Gerraty '17,Western Washington University,167
A,14,Hannah Noll '15,University of Wisconsin Milwaukee,184
