Division,Placement,Skipper,Team,Total Score
A,1,Connor Astwood '16,Boston University,36
A,2,Atlantic Brugman '13,Connecticut College,37
A,3,Drew Shea '14,Brown University,43
A,4,William Bowman '14,Boston College,46
A,5,Gabriel Salk '14,Connecticut College,52
A,6,Kyle Carney '13,Salve Regina University,58
A,7,Adam Ceely '15,University of Vermont,63
A,8,Natalie Salk '13,Tufts University,65
A,9,Ellis Tonissi '15,Connecticut College,77
A,10,Kate Levinson '15,Tufts University,84
A,11,Alexander Strothe '14,Middlebury College,100
A,12,Sarah Fuller '16,University of Connecticut,103
A,13,Samuel Scribner '15,Bates College,104
A,14,Sean McLaughlin '15,Massachusetts Maritime Academy,107
A,15,Jesse Thomas '17,Northeastern University,109
A,16,Winsor Williams '13,Johnson and Wales University,141
