Division,Placement,Skipper,Team,Total Score
C,1,Cam Cullman '13,Yale University,15
C,2,David Hernandez '12,University of Miami,27
C,3,William Hutchings '13,Tufts University,38
C,4,Michael Zonnenberg '15,University of Vermont,45
C,5,Michael Russom '13,University of Pennsylvania,49
C,6,Lucas Adams '15,Brown University,50
C,7,Philip Youngberg '15,U. S. Naval Academy,52
C,8,John Wallace '14,St. Mary's College of Maryland,53
C,9,William Sands '15,College of Charleston,54
C,10,Andrew Fox '13,University of Wisconsin,57
C,11,Ryan Pesch '12,Boston University,65
C,12,Domenic Bove '15,Boston College,65
C,13,Bo McClatchy '13,Dartmouth College,68
C,14,Collin Leon '13,Old Dominion University,70
C,15,Johnny Norfleet '13,Hobart and William Smith Colleges,74
C,16,James Foster '14,University of Hawaii,79
C,17,Jason Michas '13,Harvard University,79
C,18,Matthew Gowell '14,Georgetown University,97
C,19,Lawrence Jau '13,University of Michigan,109
C,20,Kimannee Simon '14,Hampton University,114
