Division,Placement,Skipper,Team,Total Score
B,1,Christopher Segerblom '14,Yale University,59
B,2,Nikole Barnes '17,U. S. Coast Guard Academy,99
B,3,Brady Stagg '14,Old Dominion University,131
B,4,Connor Corgard '16,Roger Williams University,133
B,5,Reinier Eenkema Van Dijk '17,Stanford University,137
B,6,Maximiliano Agnese '16,University of Pennsylvania,138
B,7,AJ Reiter '17,Georgetown University,140
B,8,Markus Edegran '16,U. S. Naval Academy,157
B,9,Jordan Bothwick '15,Connecticut College,163
B,10,Ryan Seago '14,University of Michigan,165
B,11,Jack Jorgensen '16,College of Charleston,171
B,12,Christopher Price '14,Dartmouth College,174
B,13,Jacob La Dow '15,St. Mary's College of Maryland,187
B,14,Julia Paxton '14,SUNY Maritime College,193
B,15,Eric Siegel '16,Washington College,203
B,16,Colin Kennedy '17,George Washington University,254
B,17,Samuel Patterson '16,University of Virginia,268
B,18,Lucas Hickling '15,University of Miami,306
