Division,Placement,Skipper,Team,Total Score
B,1,Connor Trepton '15,University of Wisconsin,12
B,2,Christopher Cyr '16,University of Michigan,32
B,3,Alison Kent '16,University of Minnesota,37
B,4,Nathan Ross '18,Washington University,44
B,5,Patrick Power '15,University of Notre Dame,49
B,6,Noah Rosenthal '18,Northwestern University,49
B,7,Hannah Noll '15,University of Wisconsin Milwaukee,67
B,8,Meghan Bouman '15,Marquette University,77
B,9,Eric Hansen '17,University of Iowa,89
B,10,Taylor Valentor '16,University of Illinois - Chicago,94
