Division,Placement,Skipper,Team,Total Score
C,1,Ryan Schmitz '15,Boston College,55
C,2,Kimberly Kaull '13,University of Vermont,60
C,3,Rob Struckett '12,Yale University,70
C,4,Dan Nickerson '15,Tufts University,76
C,5,Lauren Cefali '15,U. S. Coast Guard Academy,76
C,6,Henry Vogel '15,Roger Williams University,79
C,7,IG Schottlaender '14,Connecticut College,81
C,8,Katherine Doble '13,Bowdoin College,93
C,9,Johanna Kincaid '15,Brown University,113
C,10,Devon Rohde '15,U. S. Coast Guard Academy,120
C,11,Ted Netland '14,Middlebury College,145
C,12,Becker Awqatty '14,Northeastern University,146
C,13,Andrew McHenry '13,Maine Maritime Academy,146
C,14,Mary Clawson '15,Salve Regina University,171
C,15,Daniel Barry '15,Massachusetts Maritime Academy,173
C,16,Christopher Calahan '12,Bates College,185
