Division,Placement,Skipper,Team,Total Score
B,1,Genoa Warner '12,Yale University,18
B,2,Killian Corbishley '14,U. S. Naval Academy,31
B,3,Corina Radtke '14,Old Dominion University,39
B,4,Amanda Tooker '11,Fordham University,54
B,5,Erica Lush '14,Boston University,55
B,6,Lauren Turner '13,Cornell University,58
B,7,Brooke Lyon '14,Hobart and William Smith Colleges,64
B,8,Michelle Czarnecki '12 *,University of Wisconsin,69
B,9,Leeds Pierce '12,Hamilton College,70
B,10,Sydney Goodfellow '12,Queen's University,93
