Division,Placement,Skipper,Team,Total Score
C,1,Juan Maegli '13,College of Charleston,36
C,2,Kieran Chung '15,Stanford University,65
C,3,Greg Martinez '18,Georgetown University,71
C,4,Cam Cullman '13,Yale University,84
C,5,William Hutchings '13,Tufts University,94
C,6,Lucas Adams '15,Brown University,98
C,7,Christopher Stocke '15,University of South Florida,107
C,8,Nick Valente '16,SUNY Maritime College,109
C,9,John Wallace '14,St. Mary's College of Maryland,109
C,10,George Prieto '13,U. S. Naval Academy,140
C,11,Collin Leon '13,Old Dominion University,141
C,12,Michael Booker '15,University of Vermont,146
C,13,Ryan Bailey '15,Washington College,148
C,14,Matt Jaykus '14,University of Miami,181
C,15,Wheeler Morris '16,Hobart and William Smith Colleges,194
C,16,Dylan Marohn '16,U. S. Merchant Marine Academy,194
C,17,Elizabeth Dust '15,Michigan State University,219
C,18,Stefano Nardini '15,Hampton University,253
