Division,Placement,Skipper,Team,Total Score
B,1,Pearson Potts '16,Connecticut College,37
B,2,Peter Edmunds '14,Bowdoin College,49
B,3,Nick Johnstone '15,College of Charleston,49
B,4,Alexander Curtiss '16,St. Mary's College of Maryland,56
B,5,Robert Lippincott '14,Salve Regina University,64
B,6,Cameron Fraser '14,Boston University,65
B,7,Duncan Howes '15,Cornell University,81
B,8,Charles Nunn '16,University of Rhode Island,84
B,9,Dylan Finneran '15,U. S. Coast Guard Academy,91
B,10,Christopher Stessing '14,University of Virginia,97
B,11,Conor Lodge '14,Northeastern University,101
B,12,Maria Sinagra '16,George Washington University,107
B,13,Luke Miller '15,University of Buffalo,124
B,14,Chris Myers '15,Drexel University,150
