Division,Placement,Skipper,Team,Total Score
B,1,Ian Barrows '17,Yale University,82
B,2,William Bailey '15,Boston College,131
B,3,Nikole Barnes '17,U. S. Coast Guard Academy,145
B,4,Connor Corgard '16,Roger Williams University,145
B,5,Dan Nickerson '15,Tufts University,160
B,6,Charles Rees '16,College of Charleston,162
B,7,Connor Godfrey '16,Fordham University,163
B,8,Jacob La Dow '15,St. Mary's College of Maryland,173
B,9,Pearson Potts '16,Brown University,173
B,10,Alex Post '15,Georgetown University,180
B,11,Augie Dale '18,Old Dominion University,183
B,12,Antoine Screve '16,Stanford University,185
B,13,Andrew Mollerus '16,Harvard University,187
B,14,Michael Popp '16,U. S. Naval Academy,189
B,15,Connor Trepton '15,University of Wisconsin,189
B,16,Andrew Bates '15,U. S. Merchant Marine Academy,196
B,17,Jack McGuire '17,Bowdoin College,216
B,18,Zachary Hill '18,SUNY Maritime College,219
