Division,Placement,Skipper,Team,Total Score
A,1,Antoine Screve '16,Stanford University,9
A,2,Oliver Toole '14,Stanford University,11
A,3,Kieran Chung '15,Stanford University,15
A,4,Mateo Vargas '14,Stanford University,18
A,5,Stephen Long '17,University of California at Santa Barbara,28
A,6,John Coakley '16,University of Southern California,43
A,7,JOHN CONNOR BATHEN '14,Santa Clara University,46
A,8,John Hill '13,California State University Long Beach,50
A,9,Cobi Allen '16,University of California at Santa Barbara,51
A,10,Stephen Katz '16,California Maritime Academy,55
A,11,Travis Benton '14,University of California at Berkeley,55
A,12,Daniel Baldassare '15,University of California at Davis,57
A,13,Ian Spilman '15,University of California at Santa Cruz,58
A,14,David Cornella '17,Cal Poly University S.L.O.,60
A,15,Mark Hurdle '13,California State University Monterey Bay,61
A,16,William Emberley '16,University of California at Davis,64
A,17,Christopher Keefe '14,University of California at San Diego,84
