Division,Placement,Skipper,Team,Total Score
A,1,Gregory Dair '15,California State University Channel Islands,22
A,2,Adam Pokras '14,University of Hawaii,35
A,3,Lily Katz '17,Stanford University,39
A,4,Chris Vilicich '16,California Maritime Academy,41
A,5,Axel Sly '16,Stanford University,43
A,6,Matthew Hecht '16,University of Southern California,46
A,7,Mark Ryan '15,California State University Long Beach,74
A,8,Stephen Long '17,University of California at Santa Barbara,88
A,9,Francesca Cappellini '16,Santa Clara University,91
A,10,Paul Foley '15,Western Washington University,100
A,11,Simone Staff '18,University of California at Santa Barbara,104
A,12,Reid Cannon '15,University of Victoria,119
A,13,Nicholas Weis '15,University of California at Irvine,133
A,14,Nicolas Delfino '16,University of California at San Diego,139
A,15,Sarah Davis '15,Westmont College,144
A,16,Alexander Smith '18,Arizona State University,145
A,17,Lucas Murray '15,University of California at Davis,145
A,18,Stephen Bordes '15,University of California at Berkeley,158
A,19,Graham Gooding '16,Cal Poly University S.L.O.,164
A,20,Gabriel Monti '15,University of California at Los Angeles,171
A,21,Alex Verdoia '15,University of California at Santa Cruz,176
A,22,Peter Schmidt '18,California State University Monterey Bay,177
A,23,Kyra Oakes '18,University of California at Berkeley,179
A,24,Ryan Fritsen '14,University of Oregon,187
