Division,Placement,Skipper,Team,Total Score
B,1,Anne Haeger '12,Boston College,33
B,2,Shannon Heausler '10 *,College of Charleston,46
B,3,Kelly Crane '11,Hobart and William Smith Colleges,50
B,4,Chandler Salisbury '13,Dartmouth College,56
B,5,Charlotte Lipschitz '10 *,Brown University,62
B,6,Sara Morgan Watters '10 *,St. Mary's College of Maryland,64
B,7,Margaret Tautz '12,Tufts University,66
B,8,Claire Dennis '13,Yale University,68
B,9,Katrina Williams '10 *,Old Dominion University,71
B,10,Abby Featherstone '13,University of South Florida,77
B,11,Charlotte Dorris '11,Eckerd College,83
B,12,Lauren Burke '12,Georgetown University,86
B,13,Elizabeth Whipple '12,Connecticut College,88
B,14,Elizabeth Powers '10 *,Harvard University,93
B,15,Sara Burke '11,U. S. Naval Academy,93
B,16,Bethany Leonard '11,University of Rhode Island,95
B,17,Emma Kofmehl '13,University of Pennsylvania,108
B,18,Amanda Tooker '11,Fordham University,130
