Division,Placement,Skipper,Team,Total Score
A,1,Stephanie Hudson '13,Boston College,76
A,2,Natalie Salk '13,Tufts University,87
A,3,Claire Dennis '13,Yale University,136
A,4,Lauren Turner '13,Cornell University,138
A,5,Haley Powell '13,Roger Williams University,141
A,6,Sky Adams '14,Brown University,144
A,7,Kelsey Wheeler '14,Dartmouth College,147
A,8,Chloe Lepert '15,Massachusetts Institute of Technology,151
A,9,Morgan Russom '14,Harvard University,154
A,10,Kaylee Schwitzer '15,Bowdoin College,156
A,11,Marissa Lihan '14,U. S. Naval Academy,181
A,12,Kaye Siemers '13,Eckerd College,191
A,13,Elizabeth Glivinski '14,Boston University,191
A,14,Megan Yeigh '16,University of Vermont,204
A,15,Irene Jacqz '13,Columbia University,223
A,16,Elise Gehling '17,Northeastern University,227
A,17,Alexandra Romagnoli '15,Connecticut College,244
A,18,Mackenzie Needham '15,University of Rhode Island,267
