Division,Placement,Skipper,Team,Total Score
B,1,Josh Saltmarsh '11,Roger Williams University,106
B,2,Tripp Cashel '11,Boston University,107
B,3,Ben Quatromoni '10 *,University of Rhode Island,108
B,4,Peter Pellegrini '12,Salve Regina University,110
B,5,John Potts '09 *,Tufts University,117
B,6,Emily Maxwell '11,Boston College,133
B,7,Eamon Glackin '12,Massachusetts Institute of Technology,137
B,8,Matthew Cohen '10 *,Dartmouth College,139
B,9,Ryan White '11,Northeastern University,143
B,10,Jonathan Duffett '11,U. S. Coast Guard Academy,154
B,11,Matthias Donelan '11,Harvard University,157
B,12,Rob Struckett '12,Yale University,171
B,13,Peter Wadden '09 *,Bowdoin College,173
B,14,Sean Badger '10 *,University of New Hampshire,175
B,15,Christopher Campbell '09 *,University of Massachusetts at Boston,200
B,16,Quentin Chafee '11,University of Vermont,212
B,17,Lester Closson '09 *,Maine Maritime Academy,259
