Division,Placement,Skipper,Team,Total Score
B,1,none,College of Charleston,27
B,2,none,University of South Florida,31
B,3,none,Eckerd College,45
B,4,none,University of Miami,46
B,5,none,Rollins College,68
B,6,none,Clemson University,80
B,7,none,University of Florida,98
B,8,none,University of North Carolina at Wilmington,111
B,9,none,Florida Atlantic University,113
B,10,none,Embry-Riddle University,131
B,11,none,Georgia Institute of Technology,138
B,12,none,Jacksonville University,156
B,13,none,Florida Institute of Technology,170
B,14,none,Florida Gulf Coast University,170
B,15,none,University of Tennessee,181
B,16,none,New College of Florida,183
B,17,none,Emory University,200
B,18,none,University of Georgia,211
B,19,none,Auburn University,222
