Division,Placement,Skipper,Team,Total Score
B,1,Esteban Forrer '16,Old Dominion University,78
B,2,Ryan Davidson '16,College of Charleston,80
B,3,Alexander Stewart '17,Massachusetts Institute of Technology,95
B,4,Alex Post '15,Georgetown University,96
B,5,Eddie Cox '16,Hobart and William Smith Colleges,112
B,6,Scott Houck '15,Dartmouth College,120
B,7,Christopher Segerblom '14,Yale University,123
B,8,Maximiliano Agnese '17,University of Pennsylvania,125
B,9,Bryce Kopp '16,Connecticut College,140
B,10,William Bailey '15,Boston College,142
B,11,Connor Corgard '16,Roger Williams University,144
B,12,Michael Popp '16,U. S. Naval Academy,147
B,13,Alejandro Ruiz-Ramon '15,Tufts University,150
B,14,Connor Godfrey '16,Fordham University,156
B,15,Arthur Libby '17,SUNY Maritime College,165
B,16,Jason D'Agostino '17,Eckerd College,170
B,17,Alexander Curtiss '16,St. Mary's College of Maryland,175
B,18,Benjamin Mohney '15,University of South Florida,176
