Division,Placement,Skipper,Team,Total Score
B,1,Jack Swikart '15,University of Pennsylvania,15
B,2,Drew Shea '14,Brown University,18
B,3,Patrick Penwell '16,University of Rhode Island,25
B,4,Adam Keally '15,Fordham University,28
B,5,Marly Isler '16,Yale University,37
B,6,Lauren Albano '16,SUNY Maritime College,40
B,7,Jacob Spracher '15,Old Dominion University,41
B,8,Samuel Watterson '16,U. S. Merchant Marine Academy,54
B,9,Jack Ingham '16,Villanova University,54
B,10,Alex Gatto '15,Cornell University,58
B,11,John Koehler '13,Columbia University,63
B,12,Meghan Colwell '16,Middlebury College,64
B,13,Benjaim Helfand '16,George Washington University,71
B,14,Justine Mitchell '15,Wesleyan University,75
B,15,Elizabeth Sipp '16,Princeton University,86
B,16,Elliot Greenwald '16,Syracuse University,89
B,17,Jack Pinnell '15,U. S. Military Academy,97
B,18,Alex Vivenzio '14,Fairfield University,102
