Division,Placement,Skipper,Team,Total Score
A,1,Nikole Barnes '17,U. S. Coast Guard Academy,49
A,2,Sarah Williams '16,Dartmouth College,52
A,3,MaryClaire Kiernan '17,Tufts University,60
A,4,Hannah Polster '17,Boston University,62
A,5,Erin Mullins '16,Bowdoin College,63
A,6,Sarah Streater '18,University of South Florida,64
A,7,Rachel Bryer '17,University of Rhode Island,73
A,8,Casey Klingler '18,Yale University,78
A,9,Charlotte List '18,Connecticut College,85
A,10,Isabella Loosbrock '19,Boston College,87
A,11,Taylor Ladd '18,Harvard University,92
A,12,Janel DeCurtis '18,Roger Williams University,100
A,13,Amina Brown '17,University of Vermont,106
A,14,Alexandra Swanson '16,Brown University,124
A,15,Victoria McGruer '17,Northeastern University,127
A,16,Anna Huebschmann '18,Eckerd College,149
A,17,Greta Farrell '18,Massachusetts Institute of Technology,156
