Division,Placement,Skipper,Team,Total Score
A,1,Shawn Murray '12,SUNY Maritime College,20
A,2,Johnny Norfleet '13,Hobart and William Smith Colleges,42
A,3,Alexander Sachs '12,Fordham University,42
A,4,Michael Whitford '12,Washington College,44
A,5,Nick Johnstone '15,College of Charleston,52
A,6,Jason Carminati '12,U. S. Naval Academy,55
A,7,Michael Lee '14,University of Wisconsin,56
A,8,Christopher Price '14,Dartmouth College,69
A,9,George Saunders '12,Roger Williams University,71
A,10,Steven Pelissier '14,University of Vermont,75
A,11,Brady Stagg '14,Old Dominion University,81
A,12,Gary Herring '12,U. S. Merchant Marine Academy,85
A,13,Geoff Pedrick '12,Northwestern University,86
A,14,Thomas Presti '13,University of Connecticut,95
A,15,Duncan Howes '15,Cornell University,100
A,16,Andrew Grasso '15,Princeton University,134
A,17,none,Hamilton College,139
A,18,No show,Salve Regina University,152
