Division,Placement,Skipper,Team,Total Score
A,1,Deirdre Lambert '15,Dartmouth College,25
A,2,Robert Lippincott '14,Salve Regina University,27
A,3,Peter Edmunds '14,Bowdoin College,29
A,4,Natalie Salk '13,Tufts University,34
A,5,Maarten Eenkema Van Dijk '14,Northeastern University,35
A,6,Ian Donahue '12,Boston College,37
A,7,Bradley Abbott '13,University of Vermont,53
A,8,Elizabeth Whipple '12,Connecticut College,55
A,9,David Pierce '12,Bates College,60
A,10,Ian Paice '13,Boston University,64
A,11,Jared Dunn '13,Brandeis University,69
A,12,Sean Willerford '14,Middlebury College,70
A,13,Christopher Hulse '12,Maine Maritime Academy,82
A,14,James Fales '13,University of Connecticut,95
A,15,none,University of Southern Maine,112
