Division,Placement,Skipper,Team,Total Score
B,1,Adam Roberts '09 *,Boston College,87
B,2,Jonathan Garrity '09 *,Harvard University,99
B,3,Joshua Leighton '10 *,Massachusetts Institute of Technology,99
B,4,Cy Thompson '11,Roger Williams University,121
B,5,William Brown '10 *,Brown University,137
B,6,Mathew Renik '19,Boston University,138
B,7,Tim Murphy '10 *,U. S. Naval Academy,139
B,8,John Potts '09 *,Tufts University,146
B,9,Jonathan Duffett '11,U. S. Coast Guard Academy,155
B,10,Joseph Morris '12,Yale University,162
B,11,Edward Glackin '11,Dartmouth College,168
B,12,Torey Pellegrini '10 *,Salve Regina University,171
B,13,Matt Sterett '10 *,Connecticut College,210
B,14,R. Dhein '09 *,University of New Hampshire,218
B,15,Peter Wadden '09 *,Bowdoin College,235
B,16,Mike Warren '10 *,University of Rhode Island,239
B,17,Edmund Scott Jr '09 *,Maine Maritime Academy,245
B,18,Nachiketa Tiwari '11,University of Michigan,308
