Division,Placement,Skipper,Team,Total Score
C,1,William Dwyer '09 *,Boston College,56
C,2,Sean Bouchard '12,Roger Williams University,60
C,3,Joseph Morris '12,Yale University,69
C,4,Daniel Perkins '11,Boston University,88
C,5,Mike Kuschner '10 *,St. Mary's College of Maryland,98
C,6,Elizabeth Powers '10 *,Harvard University,103
C,7,Mike Warren '10 *,University of Rhode Island,105
C,8,Michael Marshall '11,Connecticut College,106
C,9,Jonathan Duffett '11,U. S. Coast Guard Academy,108
C,10,Nathan Rosenberg '10 *,Tufts University,110
C,11,Emily Dellenbaugh '12,Brown University,124
C,12,Peter Pellegrini '12,Salve Regina University,130
C,13,Philip Crain '13,Massachusetts Institute of Technology,138
C,14,Justin Ahearn '10 *,University of South Florida,144
C,15,Edward Glackin '11,Dartmouth College,147
C,16,Coleman Bowen '11,University of Vermont,151
C,17,William Fletcher '09 *,U. S. Naval Academy,156
C,18,Alex Takata '12,Bowdoin College,161
