Division,Placement,Skipper,Team,Total Score
B,1,Tily Milburn '18,College of Charleston,6
B,2,Mark Thompson '18,North Carolina State University,20
B,3,Vincent Miao '18,Duke University,22
B,4,Kailey Savacool '16,University of North Carolina at Wilmington,31
B,5,James Elder '15,Georgia Institute of Technology,32
B,6,Sarah Parker '18,East Carolina University,35
B,7,Austin Winkler '16,The Citadel,42
B,8,Tanner Zelman '17,University of South Carolina,52
B,9,Jonathan Ashworth '16,Auburn University,53
B,10,Erica Trotter '17,University of Georgia,55
