Division,Placement,Skipper,Team,Total Score
B,1,Brendan Cook '16,Boston University,38
B,2,Charles Lalumiere '17,Dartmouth College,38
B,3,Nick Sertl '18,Harvard University,41
B,4,Scott Barbano '17,Tufts University,46
B,5,Nathan Allman '16,Brown University,49
B,6,Malcolm Lamphere '18,Yale University,56
B,7,Joseph Paggi '16,Massachusetts Institute of Technology,59
B,8,Martim Anderson '18,Roger Williams University,71
B,9,Henry Dumke '17,Boston College,77
B,10,Matthew Kaplan '19,Bowdoin College,89
B,11,Roberto Stevens '19,Fordham University,95
B,12,Patrick Isherwood '17,University of Rhode Island,98
B,13,Sam Shannon '19,Salve Regina University,105
B,14,Alexander Smith '17,Washington College,123
B,15,Harrison Vandervort '19,University of California at Santa Barbara,123
B,16,Benjamin Craig '17,University of Vermont,128
B,17,Kurran Singh '19,Northeastern University,129
