Division,Placement,Skipper,Team,Total Score
A,1,Greg Martinez '18,Georgetown University,64
A,2,Juan Perdomo '17,Harvard University,74
A,3,Enrique Arathoon '16,College of Charleston,77
A,4,Joseph Kiss '17,Yale University,114
A,5,Nick Valente '16,SUNY Maritime College,122
A,6,John Wallace '14,St. Mary's College of Maryland,122
A,7,Oliver Toole '14,Stanford University,140
A,8,Olin Paine '16,Fordham University,143
A,9,Charles Rees '16,College of Charleston,155
A,10,Christopher Stocke '15,University of South Florida,160
A,11,Ian Barrows '17,Yale University,164
A,12,Michael Zonnenberg '15,University of Vermont,179
A,13,Trey Hartman '15,Texas A&M University at Galveston,207
A,14,Stephen Long '17,University of California at Santa Barbara,210
A,15,Matthew Ripkey '17,University of Wisconsin,261
A,16,Paul Foley '15,Western Washington University,271
A,17,Ryan Grosch '14,University of Minnesota,293
A,18,Ian Jones '15,Oklahoma State University,320
