Division,Placement,Skipper,Team,Total Score
B,1,Dan Nickerson '15,Tufts University,20
B,2,Anoush Longerstaey '17,McGill University,28
B,3,Chloe Lepert '15,Massachusetts Institute of Technology,29
B,4,Christina Lewis '16,University of Rhode Island,32
B,5,Jesse Thomas '17,Northeastern University,33
B,6,Henry Dumke '17,Boston College,33
B,7,Zachary Vickerson '16,Boston University,33
B,8,William Bloxham '17,Harvard University,41
B,9,Tristan Janowicz '16,Providence College,42
B,10,Emmet Todd '17,University of New Hampshire,54
B,11,Briana Travers '17,Holy Cross College,69
B,12,Meredith Kresic '17,University of Connecticut,69
B,13,Matthew Moss-Hawkins '17,Bates College,79
B,14,Erin Meltzer '14,Johnson and Wales University,81
B,15,Michael Partridge '16,Brandeis University,83
B,16,Allison Carter '16,Williams College,95
B,17,Joaquin Benares '15,Wesleyan University,97
