Division,Placement,Skipper,Team,Total Score
B,1,Sebby Turner '20,Cornell University,29
B,2,Christine Moloney '17,Hobart and William Smith Colleges,36
B,3,Audrey Giblin '20,Dartmouth College,46
B,4,Abigail Finkenauer '17,University of Vermont,47
B,5,Jennifer Mackenzie '20,Queen's University,55
B,6,Charlotte Lenz '20,Tufts University,62
B,7,Julia Downey '20,University of California at Santa Barbara,76
B,8,Grace Howie '20,Fordham University,80
B,9,Sarah Alexander '19,George Washington University,87
B,10,Anna Louise Devanny '17,University of Virginia,87
B,11,Susan Riley '17,Northwestern University,90
B,12,Catalina Feder '19,Columbia University,100
B,13,Jocelyn Rovniak '17,Old Dominion University,123
B,14,Samantha Mislinski '19,SUNY Stony Brook,132
