Division,Placement,Skipper,Team,Total Score
D,1,Alejandro Ruiz-Ramon '15,Tufts University,17
D,2,Colin Smith '13,Brown University,20
D,3,William Bailey '15,Boston College,37
D,4,Claire Dennis '13,Yale University,39
D,5,Ben Spector '13,College of Charleston,40
D,6,Alex Post '15,Georgetown University,44
D,7,Evan Hoffmann '14,Old Dominion University,50
D,8,OJ O'Connell '15,University of Vermont,53
D,9,Arielle DeLisser '14,Hobart and William Smith Colleges,58
D,10,Marissa Lihan '14,U. S. Naval Academy,58
D,11,Laura Hernandez '15,University of Miami,59
D,12,Jacob La Dow '15,St. Mary's College of Maryland,59
D,13,Scott Houck '15,Dartmouth College,65
D,14,Giuditta Di Laghi '16,Hampton University,76
D,15,Luke O'Connor '14,Harvard University,85
D,16,Brendan Boylan '13,University of Wisconsin,89
D,17,Ian Towill '14,Boston University,94
D,18,Craig Schifferns '12,University of Hawaii,102
D,19,Ellen Dubois '14,University of Michigan,104
D,20,Matthias Chia '15,University of Pennsylvania,111
