Division,Placement,Skipper,Team,Total Score
B,1,Andrew Lamb '14,California Maritime Academy,13
B,2,Stephen Bordes '15,University of California at Berkeley,17
B,3,Alex Verdoia '15,University of California at Santa Cruz,24
B,4,Francesca Cappellini '16,Santa Clara University,24
B,5,Parker Smith '17,California State University Monterey Bay,26
B,6,Andrew Gunnell '17,California Maritime Academy,27
B,7,Olivia Gibbons '17,California State University Monterey Bay,30
B,8,Georgia Cottong '14,University of California at Santa Cruz,37
B,9,Ian Markowitz '17,University of California at Berkeley,42
B,10,Nils-Erik Rundquist '17,University of California at San Diego,49
B,11,Casey Weisenseel '15,California State University Monterey Bay,56
B,12,Yan Rui Goheen '17,University of California at San Diego,57
B,13,Connor Bockman '15,University of California at Davis,59
B,14,Alexandra Bischak '15,University of California at Davis,71
