Division,Placement,Skipper,Team,Total Score
A,1,Graham Landy '15,Yale University,104
A,2,Avery Fanning '16,U. S. Coast Guard Academy,110
A,3,Nevin Snow '16,Georgetown University,134
A,4,Raul Rios '16,Boston College,134
A,5,Mary Hall '15,U. S. Naval Academy,136
A,6,Jake Reynolds '16,College of Charleston,137
A,7,Alexander Curtiss '16,St. Mary's College of Maryland,146
A,8,Esteban Forrer '16,Old Dominion University,157
A,9,Charles Lomax '18,U. S. Merchant Marine Academy,159
A,10,Kieran Chung '15,Stanford University,159
A,11,William Macdonald '15,Roger Williams University,179
A,12,Alejandro Ruiz-Ramon '15,Tufts University,179
A,13,Michael Croteau '15,Bowdoin College,210
A,14,Nick Valente '16,SUNY Maritime College,211
A,15,Lucas Adams '15,Brown University,214
A,16,Brian Drumm '15,Harvard University,228
A,17,Alecsander Tayler '17,Fordham University,229
A,18,George Kutschenreuter '15,University of Wisconsin,253
