Division,Placement,Skipper,Team,Total Score
B,1,Ryan Seago '14,University of Michigan,6
B,2,Emily Oltrogge '15,University of Minnesota,6
B,3,Meghan Bouman '15,Marquette University,15
B,4,Grant Pollock '16,Purdue University,22
B,5,John Hodges '13,Northwestern University,22
B,6,Ian Norman '18,University of Wisconsin,23
B,7,Ryan Mabie '16,Western Michigan University,28
B,8,Karinne Smolenyak '15,University of Michigan,30
B,9,Katy Carlyle '15,University of Chicago,38
B,10,Kendall Witmer '15,University of Michigan,40
B,11,David Meyerson '15,University of Wisconsin,40
B,12,Robert Ottman '16,Bowling Green State University,42
B,13,Blake Banovitz '14,Lake Forest College,50
B,14,Rebecca Abellera '15,University of Iowa,50
