Division,Placement,Skipper,Team,Total Score
B,1,none,Michigan State University,42
B,2,none,Penn State University,45
B,3,none,Ohio State University,52
B,4,none,Auburn University,70
B,5,none,Denison University,73
B,6,none,Ohio State University,74
B,7,none,Ohio University,87
B,8,none,Wittenberg University,97
B,9,none,Western Michigan University,107
B,10,none,Western Michigan University,111
B,11,none,Bowling Green State University,113
B,12,none,Miami University,114
B,13,none,Bowling Green State University,128
B,14,none,University of Toledo,153
