Division,Placement,Skipper,Team,Total Score
B,1,Nicholas Ridenour '12,University of Michigan,11
B,2,Allison Valentor '10 *,University of Wisconsin,22
B,3,David Kluger '12,Northwestern University,36
B,4,Emily Van Dam '12,University of Illinois,46
B,5,Nachiketa Tiwari '11,University of Michigan,51
B,6,Paul Kaplan '13 *,University of Chicago,55
B,7,Andrew Brill '12,University of Wisconsin Milwaukee,56
B,8,Cameron Bates '10 *,University of Michigan,67
B,9,Caleb Kiser '12,Northern Michigan University,75
B,10,Philip Niles '12,Marquette University,80
B,11,John Hodges '13,Northwestern University,84
B,12,Andrew Twohey '18,Michigan State University,90
B,13,Hilary Rieman '13,Bowling Green State University,98
B,14,Gavin Hussey '11,University of Wisconsin,102
B,15,Andrew Hoffman '10 *,Miami University,111
B,16,Gregory Torrisi '11,University of Notre Dame,112
B,17,Daniel Bartz '12,University of Illinois,136
