Division,Placement,Skipper,Team,Total Score
B,1,William Livernois '16,Massachusetts Institute of Technology,17
B,2,Scott Booth '16,Roger Williams University,27
B,3,Conor Fowler '14,Boston University,44
B,4,none,Tufts University,54
B,5,Ansel Duff '15,Harvard University,58
B,6,James Goodson '15,Salve Regina University,65
B,7,Nicholas Odegard '16,U. S. Coast Guard Academy,72
B,8,Luke Orchardo '16,Northeastern University,73
B,9,Brooke Baker '13,Wesleyan University,81
B,10,Alex Davis '15,University of Rhode Island,89
B,11,David Rodriguez Fuentes '13,Massachusetts Institute of Technology,90
B,12,Ali Carley '14 *,Bates College,94
B,13,Beckett Colson '16,Massachusetts Institute of Technology,95
B,14,John Cavoores '16,Massachusetts Maritime Academy,113
B,15,Alex Dion '15,Amherst College,125
B,16,Paige Burns '14 *,Bentley University,138
B,17,Andrew Silhavy '14,University of Connecticut,144
