Division,Placement,Skipper,Team,Total Score
B,1,Kayla Gibson '15,College of Charleston,83
B,2,Mayumi Roller '13,St. Mary's College of Maryland,84
B,3,Emily Billing '13,Yale University,86
B,4,Taylor Scheuermann '15,University of Miami,95
B,5,Mary Kate Mezzetti '16,Georgetown University,104
B,6,Mariel Marchand '13,Tufts University,126
B,7,Erin Mullins '16,Bowdoin College,128
B,8,Jennifer Borshoff '15,Cornell University,137
B,9,Rachel Austin '14,Old Dominion University,141
B,10,Devon Rohde '15,U. S. Coast Guard Academy,148
B,11,Abby Preston '15,Roger Williams University,149
B,12,Brooke Lyon '14,Hobart and William Smith Colleges,168
B,13,Emma Ferris '15,U. S. Naval Academy,175
B,14,Sydney Jones '13,University of South Florida,180
B,15,Elise Gehling '17,Northeastern University,180
B,16,Erica Lush '14,Boston University,203
