Division,Placement,Skipper,Team,Total Score
A,1,none,University of California at Santa Barbara,22
A,2,none,University of Southern California,34
A,3,none,California Maritime Academy,41
A,4,none,California Maritime Academy,51
A,5,none,University of California at San Diego,61
A,6,none,University of California at San Diego,65
A,7,none,University of California at Irvine,65
A,8,none,University of California at Los Angeles,73
A,9,none,University of California at Los Angeles,78
A,10,none,University of Oregon,89
A,11,none,Cal Poly University S.L.O.,101
A,12,none,Chapman University,115
A,13,none,University of California at Berkeley,120
A,14,none,University of California at Davis,144
A,15,none,University of California at Santa Cruz,147
