Division,Placement,Skipper,Team,Total Score
A,1,Sydney Bolger '12,Georgetown University,51
A,2,Anne Haeger '12,Boston College,56
A,3,Amy Hawkins '12,University of Rhode Island,75
A,4,Atlantic Brugman '13,Connecticut College,88
A,5,Mary Hall '15,U. S. Naval Academy,89
A,6,Abby Featherstone '13,University of South Florida,97
A,7,Marlena Fauer '14,Yale University,97
A,8,Emily Lambert '12,Harvard University,105
A,9,Corey Hall '12,College of Charleston,119
A,10,Emilie Mademann '12,Eckerd College,121
A,11,Kayla McComb '13,St. Mary's College of Maryland,132
A,12,Kelsey Wheeler '14,Dartmouth College,135
A,13,Emily Dellenbaugh '12,Brown University,141
A,14,Sarah Mace '14,Stanford University,147
A,15,Madeline Kennedy '14,University of Hawaii,153
A,16,Ellen Nielsen '15,University of Texas,193
A,17,Ellen Dubois '14,University of Michigan,203
A,18,Erika Vranizan '12,Western Washington University,221
