Division,Placement,Skipper,Team,Total Score
A,1,Martim Anderson '18,Roger Williams University,42
A,2,Michael Gemperline '17,Roger Williams University,57
A,3,Emily Petno '16,Dartmouth College,59
A,4,Mackenzie Bryan '18,Roger Williams University,62
A,5,Casey Gowrie '16,Tufts University,62
A,6,William Crary '17,University of Vermont,66
A,7,John Wehner '18,Northeastern University,71
A,8,Timothy Harding '15,Brown University,73
A,9,Bradley Brown '15,U. S. Coast Guard Academy,75
A,10,Patrick Penwell '16,University of Rhode Island,92
A,11,Yann Cudennec '15,McGill University,112
A,12,Michael Rottier '15,University of Connecticut,127
A,13,Joseph Dragon '17,Massachusetts Maritime Academy,141
A,14,Brian Reilly '16,Sacred Heart University,157
A,15,Kelsey Delosh '17,University of Massachusetts at Dartmouth,161
A,16,Eric Sowell '16,Fairfield University,164
A,17,Joe Dalton '15,Holy Cross College,177
