Division,Placement,Skipper,Team,Total Score
B,1,William Hutchings '13,Tufts University,44
B,2,Michael Zonnenberg '15,University of Vermont,54
B,3,John Renehan '13,Dartmouth College,59
B,4,David Alfonso '14,Massachusetts Institute of Technology,71
B,5,Matt Johnson '12,Boston University,82
B,6,Conor Lodge '14,Northeastern University,86
B,7,Ian Donahue '12,Boston College,88
B,8,Rob Struckett '12,Yale University,89
B,9,Kyle Carney '13,Salve Regina University,96
B,10,Jeff Goodrich '12,Bowdoin College,104
B,11,Mike Bloomstine '13,Providence College,109
B,12,William Howard '14,U. S. Coast Guard Academy,110
B,13,Andrew Tamblyn '13,Roger Williams University,116
B,14,Caitlin Watson '14,Harvard University,117
B,15,Drew Shea '14,Brown University,117
B,16,Michael Rottier '15,University of Connecticut,155
